x_m,r_m
3.95600369,0.16326158
3.96542275,0.16322281
3.97484181,0.16318413
3.98426086,0.17447793
3.99367992,0.18135150
4.00309898,0.18261556
4.01251803,0.18269744
4.02193709,0.18283468
4.03135615,0.18289578
4.04077520,0.18304941
4.05019426,0.18316300
4.05961331,0.18334678
4.06903237,0.18488338
4.07845143,0.18649588
4.08787048,0.18810826
4.09728954,0.18972051
4.10670860,0.19108698
4.11612765,0.19135678
4.12554671,0.19157172
4.13496577,0.19179216
4.14438482,0.19187651
4.15380388,0.19195637
4.16322294,0.19208964
4.17264199,0.19221045
4.18206105,0.19232864
4.19148010,0.19243929
4.20089916,0.19253953
4.21031822,0.19262664
4.21973727,0.19268288
4.22915633,0.19271787
4.23857539,0.19273400
4.24799444,0.19271658
4.25741350,0.19266736
4.26683256,0.19258915
4.27625161,0.19248202
4.28567067,0.19234355
4.29508972,0.19219012
4.30450878,0.19204776
4.31392784,0.19193292
4.32334689,0.19181862
4.33276595,0.19167087
4.34218501,0.19145483
4.35160406,0.19158250
4.36102312,0.19190538
4.37044218,0.19224433
4.37986123,0.19257483
4.38928029,0.19290387
4.39869935,0.19325241
4.40811840,0.19358859
4.41753746,0.19392135
4.42695651,0.19426696
4.43637557,0.19460246
4.44579463,0.19493350
4.45521368,0.19527254
4.46463274,0.19562754
4.47405180,0.19599420
4.48347085,0.19640303
4.49288991,0.19529002
4.50230897,0.19376752
4.51172802,0.19262113
4.52114708,0.19165721
4.53056614,0.19081441
4.53998519,0.19005863
4.54940425,0.18936028
4.55882330,0.18871307
4.56824236,0.18810277
4.57766142,0.18753333
4.58708047,0.18699341
4.59649953,0.18648396
4.60591859,0.18116131
4.61533764,0.17398487
4.62475670,0.16692700
4.63417576,0.12236679
4.64359481,0.12816608
4.65301387,0.13158336
4.66243293,0.13513511
4.67185198,0.13802431
4.68127104,0.14018817
4.69069009,0.14144038
4.70010915,0.14274523
4.70010915,0.00000000
